Ano;Mês;Operação;Região;Volume(mil m³)
2022;5;DISPENSADO;S ;5,5156979999999995
2022;5;DISPENSADO;CO;1,1714689999999999
2022;6;VENDA;SE;58,212249999999997
2022;6;VENDA;NE;12,352891
2022;5;DISPENSADO;N ;2,7429609999999998
2022;9;DISPENSADO;NE;0,13311699999999999
2016;1;VENDA;S ;17,988766999999999
2021;7;VENDA;S ;25,197400000000002
2021;4;VENDA;SE;56,288400000000003
2021;1;VENDA;SE;57,720597999999995
2021;1;VENDA;NE;18,352049000000001
2021;1;DISPENSADO;S ;5,7100629999999999
2021;3;VENDA;NE;17,147057
2021;3;VENDA;SE;71,442978999999994
2021;6;VENDA;CO;13,066602999999999
2022;1;VENDA;NE;11,483856999999999
2016;4;VENDA;SE;49,909506999999998
2016;4;DISPENSADO;SE;11,066944999999999
2019;12;DISPENSADO;SE;12,066704999999999
2019;12;VENDA;SE;48,207622000000001
2021;7;VENDA;CO;14,920553999999999
2020;2;DISPENSADO;NE;1,1537109999999999
2016;5;VENDA;NE;14,396561999999999
2016;7;VENDA;CO;11,08297
2016;8;VENDA;S ;20,988136999999998
2016;8;VENDA;CO;11,595732999999999
2016;8;DISPENSADO;CO;0,85768800000000001
2020;8;DISPENSADO;SE;16,735239
2016;9;VENDA;SE;57,943709999999996
2020;10;DISPENSADO;S ;5,2702749999999998
2020;10;DISPENSADO;NE;1,718893
2020;10;DISPENSADO;N ;2,5865670000000001
2016;10;VENDA;N ;7,1170239999999998
2016;10;VENDA;S ;19,199611999999998
2016;10;DISPENSADO;N ;0,46603600000000001
2020;10;VENDA;CO;14,52319
2016;12;VENDA;SE;49,174876999999995
2021;12;DISPENSADO;S ;4,8483339999999995
2017;2;DISPENSADO;S ;2,6868569999999998
2017;2;DISPENSADO;NE;0,97010699999999994
2017;4;DISPENSADO;CO;0,9629899999999999
2017;5;VENDA;S ;23,300044999999997
2017;6;VENDA;N ;7,7034689999999992
2017;6;DISPENSADO;S ;2,8091309999999998
2017;9;DISPENSADO;S ;2,996
2017;10;DISPENSADO;S ;3,3311189999999997
2017;10;DISPENSADO;N ;0,90077399999999996
2017;11;DISPENSADO;SE;9,310274999999999
2020;11;DISPENSADO;CO;0,892536
2017;12;DISPENSADO;SE;17,315895999999999
2017;12;DISPENSADO;NE;5,0160929999999997
2018;2;VENDA;S ;19,990016000000001
2018;2;VENDA;N ;7,534033
2018;3;VENDA;CO;12,247449
2018;3;DISPENSADO;CO;1,0107569999999999
2018;4;DISPENSADO;CO;0,93518099999999993
2018;4;VENDA;NE;14,230143999999999
2018;5;VENDA;CO;10,428101
2018;7;VENDA;SE;55,711329999999997
2018;7;VENDA;CO;12,872586999999999
2020;12;DISPENSADO;SE;17,30659
2018;8;DISPENSADO;SE;13,975045
2020;12;VENDA;S ;21,216169000000001
2018;8;DISPENSADO;NE;1,541134
2018;9;VENDA;NE;16,431874999999998
2018;9;VENDA;S ;22,356680999999998
2018;9;DISPENSADO;S ;3,66391
2018;10;DISPENSADO;SE;15,10371
2018;10;VENDA;SE;54,884259999999998
2018;10;DISPENSADO;S ;3,6038699999999997
2018;11;DISPENSADO;SE;13,292978
2021;10;VENDA;N ;12,42756
2021;10;VENDA;SE;54,162320999999999
2018;12;VENDA;SE;45,679887000000001
2021;7;DISPENSADO;SE;18,202351999999998
2019;1;DISPENSADO;NE;0,99577199999999999
2019;1;DISPENSADO;CO;0,88001199999999991
2020;7;DISPENSADO;NE;1,8678889999999999
2019;3;VENDA;N ;8,8143019999999996
2019;3;VENDA;SE;56,541911999999996
2019;3;DISPENSADO;N ;0,95082599999999995
2019;3;DISPENSADO;SE;14,651390999999998
2021;8;DISPENSADO;NE;2,9314480000000001
2019;4;DISPENSADO;N ;0,95533799999999991
2019;5;VENDA;SE;63,681365
2019;5;VENDA;S ;25,668189999999999
2019;5;VENDA;CO;13,106152
2019;6;VENDA;SE;51,339988999999996
2019;8;VENDA;S ;24,633690999999999
2021;2;DISPENSADO;SE;17,581633999999998
2021;10;VENDA;CO;14,390585999999999
2021;4;DISPENSADO;N ;2,3985879999999997
2021;6;DISPENSADO;S ;6,234375
2021;6;DISPENSADO;NE;1,8948539999999998
2021;6;DISPENSADO;CO;1,414874
2021;3;DISPENSADO;N ;2,7075459999999998
2022;3;DISPENSADO;N ;2,2296909999999999
2021;11;DISPENSADO;S ;5,4618950000000002
2021;11;VENDA;CO;13,200322999999999
2021;11;VENDA;N ;10,097249999999999
2022;3;VENDA;SE;68,494739999999993
2022;1;DISPENSADO;CO;1,214836
2021;10;DISPENSADO;NE;1,9700489999999999
2022;6;VENDA;CO;13,072149999999999
2022;4;DISPENSADO;CO;1,4255249999999999
2022;7;DISPENSADO;N ;1,6859029999999999
2022;9;VENDA;NE;1,216661
2016;1;DISPENSADO;S ;2,103497
2021;4;VENDA;N ;11,087323999999999
2016;2;VENDA;SE;43,150796
2016;2;DISPENSADO;SE;8,748816999999999
2016;3;VENDA;NE;15,424455999999999
2016;4;VENDA;NE;13,995979
2019;12;DISPENSADO;N ;0,81232699999999991
2019;12;VENDA;S ;19,541055999999998
2019;12;VENDA;NE;13,376942
2020;2;DISPENSADO;CO;1,9821959999999998
2016;5;VENDA;N ;6,9667490000000001
2020;2;VENDA;S ;22,608608
2016;5;DISPENSADO;S ;2,2451810000000001
2016;6;VENDA;SE;52,159254999999995
2016;7;VENDA;NE;14,170287999999999
2016;7;VENDA;S ;19,581641999999999
2016;7;DISPENSADO;SE;9,9230489999999989
2020;4;VENDA;SE;31,555408
2020;4;VENDA;S ;12,598761
2016;8;VENDA;SE;54,520719999999997
2020;5;DISPENSADO;SE;10,460861
2020;7;DISPENSADO;SE;13,25765
2020;6;VENDA;SE;52,555547999999995
2020;7;VENDA;S ;26,946477999999999
2016;10;VENDA;NE;14,485173
2016;10;VENDA;SE;52,047531999999997
2016;10;DISPENSADO;CO;0,54593099999999994
2016;10;DISPENSADO;SE;8,6715979999999995
2016;10;DISPENSADO;NE;0,919937
2016;11;VENDA;NE;16,580572
2016;11;DISPENSADO;NE;2,339693
2016;11;DISPENSADO;CO;0,81624599999999992
2022;2;VENDA;S ;22,267847
2016;12;DISPENSADO;CO;0,663157
2016;12;DISPENSADO;N ;0,49970799999999999
2021;12;DISPENSADO;NE;1,335008
2021;12;DISPENSADO;CO;0,96065299999999998
2021;12;DISPENSADO;N ;1,3684479999999999
2021;12;VENDA;NE;12,916400000000001
2017;1;VENDA;SE;43,557403999999998
