Ano;Mês;Código do Produto;Descrição do Produto;Região do Produtor;UF do Produtor;Código da Operação;Descrição da Operação;Volume(L)
2016;2;620501002;CICLO DIESEL;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;16936
2016;2;620501002;CICLO DIESEL;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;4161233
2016;2;620501002;CICLO DIESEL;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2057226
2016;2;620501002;CICLO DIESEL;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;21651937
2016;2;620501002;CICLO DIESEL;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-3557838
2016;2;620501002;CICLO DIESEL;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;2409120
2016;2;620501002;CICLO DIESEL;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-602035
2016;2;620501002;CICLO DIESEL;SUL;PR;1021004;PRODUÇÃO POR MISTURA;101136
2016;2;620501002;CICLO DIESEL;SUL;RS;1021004;PRODUÇÃO POR MISTURA;1481
2016;2;620502001;MOTORES 2 TEMPOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;725
2016;2;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;984
2016;2;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-821
2016;2;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;907513
2016;2;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-48572
2016;2;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;60018
2016;2;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-840
2016;2;620502001;MOTORES 2 TEMPOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;5115
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;44603
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;51816
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;4909753
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2489386
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;17288613
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2711006
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1985833
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-233931
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;298430
2016;2;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;37243
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;15012
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;24580
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;2154674
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-909467
2016;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;3986369
